Date,Open,High,Low,Close,Volume
2022-10-24,84.55,84.6,80.86,83.32,13298956
2022-10-25,86.17,89.68,85.96,89.24,18001395
2022-10-26,88.1,91.34,87.92,88.55,12109437
2022-10-27,88.55,89.71,87.1,87.35,10785787
2022-10-28,86.09,87.4194,84.19,86.25,16005726
2022-10-31,85.51,86.25,82.47,83.58,17709487
2022-11-01,85.0,86.14,83.055,83.11,10269668
2022-11-02,83.11,84.22,79.39,79.45,13037409
2022-11-03,78.1501,78.72,75.29,76.55,26962895
2022-11-04,75.0,75.31,71.168,75.18,41464864
2022-11-07,76.53,78.18,76.12,77.66,18061466
2022-11-08,78.15,83.23,78.05,81.13,19481300
2022-11-09,80.02,80.25,78.09,78.68,14327580
2022-11-10,84.11,86.9,83.11,86.8,20122066
2022-11-11,86.52,92.0,86.46,91.03,19916726
2022-11-14,90.16,91.37,88.92,89.51,10910626
2022-11-15,92.49,92.62,89.28,89.86,14515675
2022-11-16,89.62,89.71,85.48,87.04,17049823
2022-11-17,84.615,87.34,83.51,85.64,11250077
2022-11-18,86.86,87.28,84.43,84.92,9371737
2022-11-21,84.26,84.795,80.57,80.63,13839650
2022-11-22,80.14,80.16,76.05,79.91,17402561
2022-11-23,79.52,80.99,78.735,80.75,8851732
2022-11-25,80.6,80.75,79.416,80.08,4634524
2022-11-28,79.93,82.92,79.64,79.93,11287998
2022-11-29,79.23,80.75,77.26,77.64,15491087
2022-11-30,77.7,79.11,75.32,78.41,25747321
2022-12-01,79.11,80.7455,78.14,78.53,15188966
2022-12-02,76.82,77.06,74.52,74.66,24238438
2022-12-05,74.01,75.49,72.825,73.62,18317164
2022-12-06,73.38,73.84,71.35,72.23,14692566
2022-12-07,71.68,75.34,71.01,74.42,24695638
2022-12-08,75.09,75.86,73.79,74.22,13151074
2022-12-09,73.95,74.59,73.34,73.57,11781646
2022-12-12,73.135,74.065,72.8,73.8,13652848
2022-12-13,77.04,77.81,73.1,73.7,20069616
2022-12-14,73.7,74.335,71.59,72.63,18298756
2022-12-15,71.29,71.66,69.44,69.77,17639938
2022-12-16,69.4,70.86,68.45,69.26,25735164
2022-12-19,69.06,69.6,67.75,68.95,15329986
2022-12-20,68.385,70.13,68.13,68.76,9470903
2022-12-21,68.81,70.19,68.07,69.21,13861596
2022-12-22,68.54,68.818,66.385,68.57,16488169
2022-12-23,68.05,69.2499,67.71,69.03,9990400
2022-12-27,68.96,69.24,67.68,68.33,10323752
2022-12-28,68.12,69.47,67.2917,67.55,8897589
2022-12-29,68.39,70.74,68.22,70.56,13142958
2022-12-30,69.48,71.26,69.06,71.22,10175658
2023-01-03,73.69,75.26,73.38,74.58,27974216
2023-01-04,76.11,78.48,75.43,77.69,19144650
2023-01-05,77.3,77.32,75.65,76.27,11113763
2023-01-06,76.77,77.06,73.95,76.48,14167910
2023-01-09,77.0,78.765,76.53,77.08,12966060
2023-01-10,76.9,78.02,76.5,77.92,10436048
2023-01-11,78.67,79.19,77.82,78.54,10640362
2023-01-12,79.01,80.3,77.1,79.78,9381907
2023-01-13,78.525,79.809,78.03,79.48,8624660
2023-01-17,80.14,80.665,78.88,80.18,11261761
2023-01-18,79.8,80.75,77.1213,77.31,13601923
2023-01-19,76.2605,77.42,75.96,76.75,10023405
2023-01-20,77.012,79.1,75.9001,79.09,12193167
2023-01-23,77.83,79.72,76.66,79.5,17407322
2023-01-24,79.38,80.39,78.11,79.58,9491264
2023-01-25,78.56,79.55,77.3,79.1,9463413
2023-01-26,80.08,80.9,78.556,80.81,10566025
2023-01-27,80.56,82.5348,80.32,81.83,10889093
2023-01-30,80.87,81.3598,79.535,79.64,10301044
2023-01-31,79.7,82.47,79.61,81.49,15730265
2023-02-01,81.34,83.6,79.58,82.91,13221624
2023-02-02,86.72,88.625,84.65,86.96,16906581
2023-02-03,85.39,87.84,85.2,85.52,14786883
2023-02-06,83.33,83.8,82.135,82.33,14175936
2023-02-07,82.06,83.67,80.8226,83.23,13520765
2023-02-08,82.35,82.61,79.62,79.72,13569313
2023-02-09,81.73,81.8,78.095,78.42,25473867
2023-02-10,79.37,82.85,78.6,80.8,37521045
2023-02-13,80.65,80.71,78.44,79.45,15898540
2023-02-14,79.0,79.3727,76.3,77.26,18801983
2023-02-15,76.53,78.79,76.05,77.91,14511551
2023-02-16,76.87,78.72,76.54,76.73,11461787
2023-02-17,76.2,76.33,73.59,74.66,15855721
2023-02-21,73.71,75.57,73.682,75.24,14537401
2023-02-22,75.36,76.28,74.885,75.48,9526680
2023-02-23,75.89,76.28,73.6259,75.19,9292018
2023-02-24,73.5,74.03,72.98,73.55,12317666
2023-02-27,74.32,74.565,73.46,73.77,8579281
2023-02-28,73.53,74.34,73.13,73.6,8607417
2023-03-01,73.63,74.22,73.25,73.82,7699553
2023-03-02,72.624,74.3699,72.6,74.1,7736316
2023-03-03,74.16,76.32,74.09,76.29,10040042
2023-03-06,76.94,77.76,76.36,76.78,9608557
2023-03-07,76.54,77.38,74.79,74.91,9680412
2023-03-08,75.16,76.2,74.35,75.84,9467869
2023-03-09,76.96,79.2651,75.725,75.93,17398175
2023-03-10,75.94,75.94,73.1,73.43,13123835
2023-03-13,72.622,73.97,71.0856,72.61,14049002
2023-03-14,74.075,74.67,72.675,73.24,12491519
2023-03-15,72.11,73.94,71.77,73.91,10548734
2023-03-16,73.435,74.505,72.52,74.35,11652235
2023-03-17,73.95,75.065,72.4783,72.99,27210436
2023-03-20,73.0,74.14,72.02,73.21,16888461
2023-03-21,74.14,76.84,74.07,76.72,12327575
2023-03-22,76.86,77.115,74.24,74.34,11641254
2023-03-23,72.95,74.51,71.71,72.56,18567643
2023-03-24,71.92,73.9,71.53,73.88,9181929
2023-03-27,74.815,75.17,73.18,73.3,11908872
2023-03-28,73.1,73.59,71.86,72.7,9252414
2023-03-29,73.21,74.3,73.0,74.18,8746697
2023-03-30,74.93,75.18,73.9001,74.39,8429763
2023-03-31,74.51,76.03,74.12,75.94,8378585
2023-04-03,75.625,75.92,74.705,75.29,8911724
2023-04-04,75.46,75.69,74.73,75.26,8949082
2023-04-05,75.11,75.11,73.115,73.61,10812732
2023-04-06,73.27,75.0,72.28,74.96,10524544
2023-04-10,74.46,74.855,73.46,74.52,7591754
2023-04-11,76.03,76.44,73.21,73.58,14190881
2023-04-12,73.94,75.7,73.35,73.5,10422324
2023-04-13,73.71,75.56,73.56,75.52,8724140
2023-04-14,75.2,76.735,75.15,76.53,8902653
2023-04-17,76.835,77.95,76.55,77.33,9717635
2023-04-18,77.71,77.94,76.2101,76.42,7558905
2023-04-19,75.3,75.94,74.1,75.32,8888295
2023-04-20,74.4,74.97,73.47,73.58,8847643
2023-04-21,73.4,74.24,72.92,74.18,8591139
2023-04-24,74.41,74.8725,73.38,74.29,7460807
2023-04-25,73.9,74.29,71.76,71.78,10255784
2023-04-26,71.21,72.765,71.03,72.06,9068775
2023-04-27,73.0,74.37,72.96,74.27,11420109
2023-04-28,74.24,76.05,73.92,76.0,10718873
2023-05-01,76.03,76.5,74.97,75.11,6857876
2023-05-02,74.82,75.06,71.93,72.28,12766951
2023-05-03,72.41,72.99,71.35,71.43,11865695
2023-05-04,71.77,73.05,71.755,71.81,10230510
2023-05-05,72.96,75.08,72.94,74.97,11954241
2023-05-08,75.71,76.38,74.915,75.52,22864045
2023-05-09,69.53,69.68,65.85,65.905,68702553
2023-05-10,66.5,66.59,62.78,63.38,46309067
2023-05-11,63.45,64.375,62.64,64.18,27903279
2023-05-12,64.1,64.18,61.31,61.69,28711130
2023-05-15,61.75,62.7292,61.58,62.25,20633509
2023-05-16,61.8,61.9751,60.75,60.8,17517510
2023-05-17,61.15,61.7199,60.4,61.46,19938697
2023-05-18,61.46,61.655,60.46,61.27,19820498
2023-05-19,61.9,61.95,60.708,60.92,19398048
2023-05-22,60.95,63.15,60.65,63.03,20220608
2023-05-23,63.03,63.3,61.84,62.0,16815493
2023-05-24,61.65,62.215,61.23,61.8,14790302
2023-05-25,61.74,61.74,59.315,59.37,24461258
2023-05-26,59.5,60.6072,58.95,60.22,20666752
2023-05-30,61.04,62.19,59.55,62.05,21356716
2023-05-31,61.84,63.215,61.17,61.99,27790812
